,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,follower
113,XXXTENTACION,RIOT,2017406,78680.0,0,0.509,0.542,3.0,-8.027,0.0,0.442,0.019,0.00639,0.23,0.151,97.767,4.0,89,40355881
114,XXXTENTACION,YUNGBRATZ,1833240,101851.0,0,0.755,0.695,9.0,-5.963,1.0,0.26,0.0179,0.0,0.107,0.493,128.063,4.0,89,40355881
115,XXXTENTACION,HEARTEATER,1269315,136357.0,0,0.78,0.527,9.0,-4.702,0.0,0.0296,0.0563,0.000412,0.0437,0.588,99.986,4.0,89,40355881
116,XXXTENTACION,HEARTEATER,1269315,136613.0,0,0.781,0.518,9.0,-4.657,0.0,0.0297,0.0652,0.000656,0.0522,0.61,99.984,4.0,89,40355881
117,XXXTENTACION,LOOKINGFORASTAR,873942,137173.0,0,0.915,0.692,9.0,-7.544,1.0,0.0857,0.15,0.00012,0.0964,0.713,118.981,4.0,89,40355881
118,XXXTENTACION,UGLY,365717,91800.0,0,0.528,0.325,2.0,-12.501,1.0,0.0293,0.857,0.0145,0.114,0.0412,83.651,4.0,89,40355881
119,XXXTENTACION,TRIUMPH,362632,166032.0,0,0.446,0.407,5.0,-3.056,1.0,0.031,0.718,0.0,0.0732,0.141,81.041,4.0,89,40355881
120,XXXTENTACION,KING,362549,112800.0,0,0.421,0.154,0.0,-12.405,1.0,0.0319,0.102,0.00692,0.207,0.0949,99.886,4.0,89,40355881
121,XXXTENTACION,ATTENTION!,275638,120055.0,0,0.954,0.41,0.0,-7.725,1.0,0.157,0.608,1.76e-05,0.133,0.457,130.074,4.0,89,40355881
122,KENDRICKLAMAR,HUMBLE.,606305588,177000.0,0,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4.0,91,22908166
123,KENDRICKLAMAR,N95,69261483,195950.0,0,0.79,0.67,1.0,-5.527,1.0,0.105,0.377,2.32e-06,0.119,0.408,139.956,4.0,91,22908166
124,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
125,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
126,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
127,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
128,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
129,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
