,artists,popularity,follower
635,JeremyZucker,75,2114845
636,FlyboyTarantino,45,64029
637,Mr.Kitty,73,481031
638,Lovejoy,70,1242532
639,SurfMesa,64,155953
640,AC/DC,83,25670984
641,LeslieOdomJr.,72,217561
642,Saweetie,74,1740954
643,Flume,75,2356241
644,A$APFerg,74,3479780
645,NorahJones,75,2919144
646,BizMarkie,51,355460
647,PostMalone,90,39676118
648,TroyeSivan,77,7484681
649,TheRareOccasions,68,207478
650,Alesso,77,3902898
651,ThePogues,62,460612
652,BingCrosby,72,439892
653,M.I.A.,69,1197208
654,NardoWick,75,583174
655,JoelAdams,55,176271
656,RittMomney,61,124560
657,Common,64,861830
658,SaraKays,63,358112
659,Gorillaz,82,9957849
660,Normani,71,2288930
661,TheJackson5,70,1337188
662,3DoorsDown,72,3953009
663,HayleyWilliams,66,598760
664,MissingSoul,4,195
665,gnash,66,1590426
666,DylanScott,66,1335189
667,TWICE,84,16583539
668,forKING&COUNTRY,67,1063567
669,DanielCaesar,80,3787096
670,WarrenZevon,58,366848
671,NateSmith,68,168348
672,FujiiKaze,78,1728618
673,Dixie,52,1006636
674,Shoffy,53,115480
675,Madvillain,68,511497
676,FRENSHIP,55,184827
677,JackHarlow,82,2801280
678,ILOVEMAKONNEN,59,356992
679,FrancisandtheLights,51,149341
680,Nas,76,3159710
681,StillWoozy,70,893471
682,TheFiveStairsteps,50,73598
683,Mitski,81,4272725
684,ArianaGrande,91,87749638
685,GunsN'Roses,81,27673992
686,GreatBigSea,50,99482
687,FlightFacilities,62,428549
688,salemilese,68,296768
689,Aminé,70,1834267
690,Vacations,75,517777
691,HervePagez,35,5038
692,LilDicky,63,1924409
693,SteveLacy,85,2942867
694,PaulMcCartney,73,4286832
695,ZHU,66,812628
696,Mr.Probz,65,323773
697,ILLENIUM,75,1345767
698,AST3RR,9,247
699,ZachBryan,86,1118786
700,TearsForFears,75,2700588
701,Carnage,58,310243
702,Skrillex,80,8066697
703,AllTimeLow,72,2896808
704,HaleyReinhart,65,305197
705,LeithRoss,58,181087
706,JudyGarland,56,222032
707,VanessaCarlton,65,575626
708,Madeon,59,636543
709,AgustD,68,10742553
710,Birdy,73,3658053
