,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3130,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3131,BRYANADAMS,SUMMEROF'69,741660,216053.0,0,0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131,4.0
3132,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3133,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3134,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3135,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3136,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3137,BRYANADAMS,SUMMEROF'69,741660,216053.0,0,0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131,4.0
3138,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3139,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3140,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3141,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3142,BRYANADAMS,SUMMEROF'69,741660,217493.0,0,0.5,0.908,2.0,-4.303,1.0,0.0418,0.0166,0.0,0.128,0.744,138.834,4.0
3143,ARETHAFRANKLIN,(YOUMAKEMEFEELLIKE)ANATURALWOMAN,739473,165333.0,0,0.603,0.271,5.0,-10.083,1.0,0.0284,0.679,0.0,0.141,0.405,110.89,3.0
3144,FALLOUTBOY,HOLDMETIGHTORDON’T,734640,210360.0,0,0.582,0.925,6.0,-4.366,0.0,0.0523,0.00699,2.9e-06,0.108,0.788,95.987,4.0
3145,BLACKEYEDPEAS,IGOTTAFEELING,725558,289493.0,0,0.746,0.793,0.0,-5.725,1.0,0.0265,0.0519,0.0,0.421,0.656,127.973,4.0
3146,BLACKEYEDPEAS,IGOTTAFEELING,725558,289493.0,0,0.746,0.793,0.0,-5.725,1.0,0.0265,0.0519,0.0,0.421,0.656,127.973,4.0
3147,BLACKEYEDPEAS,IGOTTAFEELING,725558,289493.0,0,0.746,0.793,0.0,-5.725,1.0,0.0265,0.0519,0.0,0.421,0.656,127.973,4.0
3148,BLACKEYEDPEAS,IGOTTAFEELING,725558,289493.0,0,0.746,0.793,0.0,-5.725,1.0,0.0265,0.0519,0.0,0.421,0.656,127.973,4.0
3149,BLACKEYEDPEAS,IGOTTAFEELING,725558,289493.0,0,0.746,0.793,0.0,-5.725,1.0,0.0265,0.0519,0.0,0.421,0.656,127.973,4.0
3150,BLACKEYEDPEAS,IGOTTAFEELING,725558,289493.0,0,0.746,0.793,0.0,-5.725,1.0,0.0265,0.0519,0.0,0.421,0.656,127.973,4.0
3151,DEADORALIVE,YOUSPINMEROUND(LIKEARECORD),716371,195146.0,0,0.554,0.963,6.0,-3.762,0.0,0.035,0.000244,0.0702,0.431,0.918,128.175,4.0
3152,JOHNMAYER,TILTHERIGHTONECOMES,715340,219226.0,0,0.807,0.563,3.0,-8.996,1.0,0.0287,0.242,0.00322,0.0488,0.925,112.985,4.0
3153,JOHNMAYER,TILTHERIGHTONECOMES,715340,219226.0,0,0.807,0.563,3.0,-8.996,1.0,0.0287,0.242,0.00322,0.0488,0.925,112.985,4.0
3154,JOHNMAYER,YOURBODYISAWONDERLAND,707906,249626.0,0,0.647,0.729,5.0,-6.251,1.0,0.0236,0.0206,0.0489,0.134,0.687,94.01,4.0
3155,JOHNMAYER,YOURBODYISAWONDERLAND,707906,249626.0,0,0.647,0.729,5.0,-6.251,1.0,0.0236,0.0206,0.0489,0.134,0.687,94.01,4.0
3156,LAUV,TATTOOSTOGETHER,704293,186613.0,0,0.862,0.4,4.0,-7.486,1.0,0.0723,0.00575,7.49e-06,0.123,0.598,122.961,4.0
3157,THENOTORIOUSB.I.G.,HYPNOTIZE,701115,230000.0,0,0.895,0.694,9.0,-4.384,1.0,0.275,0.176,0.0,0.292,0.632,93.94,4.0
3158,THENOTORIOUSB.I.G.,HYPNOTIZE,701115,230053.0,0,0.922,0.573,9.0,-5.164,1.0,0.278,0.129,0.0,0.305,0.642,93.929,4.0
3159,THENEIGHBOURHOOD,R.I.P.2MYYOUTH,700327,205280.0,0,0.353,0.686,7.0,-5.704,0.0,0.0534,0.00216,0.0,0.123,0.177,94.47,4.0
3160,THENEIGHBOURHOOD,R.I.P.2MYYOUTH,700327,205280.0,0,0.353,0.686,7.0,-5.704,0.0,0.0534,0.00216,0.0,0.123,0.177,94.47,4.0
3161,LINKINPARK,BATTLESYMPHONY,700298,216281.0,0,0.653,0.839,10.0,-5.077,1.0,0.0685,0.0369,0.0,0.068,0.669,149.034,4.0
3162,LINKINPARK,BATTLESYMPHONY,700298,216281.0,0,0.653,0.839,10.0,-5.077,1.0,0.0685,0.0369,0.0,0.068,0.669,149.034,4.0
3163,LINKINPARK,BATTLESYMPHONY,700298,216281.0,0,0.653,0.839,10.0,-5.077,1.0,0.0685,0.0369,0.0,0.068,0.669,149.034,4.0
3164,HALSEY,CASTLE,697448,277623.0,0,0.626,0.571,7.0,-7.461,0.0,0.0327,0.25,0.0,0.0946,0.164,129.959,4.0
3165,DAN+SHAY,OFFICIALLYCHRISTMAS,687100,178386.0,0,0.655,0.677,6.0,-4.278,1.0,0.0326,0.146,0.0,0.131,0.62,127.041,4.0
3166,DAN+SHAY,OFFICIALLYCHRISTMAS,687100,178386.0,0,0.655,0.677,6.0,-4.278,1.0,0.0326,0.146,0.0,0.131,0.62,127.041,4.0
3167,THIRTYSECONDSTOMARS,WALKONWATER,684269,185466.0,0,0.495,0.787,8.0,-6.89,1.0,0.0368,9.16e-05,0.0,0.167,0.388,140.003,4.0
3168,TOMWALKER,JUSTYOUANDI,670073,174982.0,0,0.567,0.696,9.0,-5.416,1.0,0.301,0.456,0.0,0.113,0.544,92.061,4.0
3169,TOMWALKER,JUSTYOUANDI,670073,174982.0,0,0.567,0.696,9.0,-5.416,1.0,0.301,0.456,0.0,0.113,0.544,92.061,4.0
3170,TOMWALKER,JUSTYOUANDI,670073,174982.0,0,0.567,0.696,9.0,-5.416,1.0,0.301,0.456,0.0,0.113,0.544,92.061,4.0
3171,TOMWALKER,JUSTYOUANDI,670073,174982.0,0,0.567,0.696,9.0,-5.416,1.0,0.301,0.456,0.0,0.113,0.544,92.061,4.0
